Time,Theta,Velocity,Error
2.17,553.35,255,949.2
2.18,555.9,255,946.65
2.19,558.45,255,944.1
2.2,561,255,941.55
2.21,563.55,255,939
2.22,566.1,255,936.45
2.23,568.65,255,933.9
2.24,571.2,255,931.35
2.25,573.75,255,928.8
2.26,576.3,255,926.25
2.27,578.85,255,923.7
2.28,581.4,255,921.15
2.29,583.95,255,918.6
2.3,586.5,255,916.05
2.31,589.05,255,913.5
2.32,591.6,255,910.95
2.33,594.15,255,908.4
2.34,596.7,255,905.85
2.35,599.25,255,903.3
2.36,601.8,255,900.75
2.37,604.35,255,898.2
2.38,606.9,255,895.65
2.39,609.45,255,893.1
2.4,612,255,890.55
2.41,614.55,255,888
2.42,617.1,255,885.45
2.43,619.65,255,882.9
2.44,622.2,255,880.35
2.45,624.75,255,877.8
2.46,627.3,255,875.25
2.47,629.85,255,872.7
2.48,632.4,255,870.15
2.49,634.95,255,867.6
2.5,637.5,255,865.05
2.51,640.05,255,862.5
2.52,642.6,255,859.95
2.53,645.15,255,857.4
2.54,647.7,255,854.85
2.55,650.25,255,852.3
2.56,652.8,255,849.75
2.57,655.35,255,847.2
2.58,657.9,255,844.65
2.59,660.45,255,842.1
2.6,663,255,839.55
2.61,665.55,255,837
2.62,668.1,255,834.45
2.63,670.65,255,831.9
2.64,673.2,255,829.35
2.65,675.75,255,826.8
2.66,678.3,255,824.25
2.67,680.85,255,821.7
2.68,683.4,255,819.15
2.69,685.95,255,816.6
2.7,688.5,255,814.05
2.71,691.05,255,811.5
2.72,693.6,255,808.95
2.73,696.15,255,806.4
2.74,698.7,255,803.85
2.75,701.25,255,801.3
2.76,703.8,255,798.75
2.77,706.35,255,796.2
2.78,708.9,255,793.65
2.79,711.45,255,791.1
2.8,714,255,788.55
2.81,716.55,255,786
2.82,719.1,255,783.45
2.83,721.65,255,780.9
2.84,724.2,255,778.35
2.85,726.75,255,775.8
2.86,729.3,255,773.25
2.87,731.85,255,770.7
2.88,734.4,255,768.15
2.89,736.95,255,765.6
2.9,739.5,255,763.05
2.91,742.05,255,760.5
2.92,744.6,255,757.95
2.93,747.15,255,755.4
2.94,749.7,255,752.85
2.95,752.25,255,750.3
2.96,754.8,255,747.75
2.97,757.35,255,745.2
2.98,759.9,255,742.65
2.99,762.45,255,740.1
3,765,255,737.55
3.01,767.55,255,735
3.02,770.1,255,732.45
3.03,772.65,255,729.9
3.04,775.2,255,727.35
3.05,777.75,255,724.8
3.06,780.3,255,722.25
3.07,782.85,255,719.7
3.08,785.4,255,717.15
3.09,787.95,255,714.6
3.1,790.5,255,712.05
3.11,793.05,255,709.5
3.12,795.6,255,706.95
3.13,798.15,255,704.4
3.14,800.7,255,701.85
3.15,803.25,255,699.3
3.16,805.8,255,696.75
3.17,808.35,255,694.2
3.18,810.9,255,691.65
3.19,813.45,255,689.1
3.2,816,255,686.55
3.21,818.55,255,684
3.22,821.1,255,681.45
3.23,823.65,255,678.9
3.24,826.2,255,676.35
3.25,828.75,255,673.8
3.26,831.3,255,671.25
3.27,833.85,255,668.7
3.28,836.4,255,666.15
3.29,838.95,255,663.6
3.3,841.5,255,661.05
3.31,844.05,255,658.5
3.32,846.6,255,655.95
3.33,849.15,255,653.4
3.34,851.7,255,650.85
3.35,854.25,255,648.3
3.36,856.8,255,645.75
3.37,859.35,255,643.2
3.38,861.9,255,640.65
3.39,864.45,255,638.1
3.4,867,255,635.55
3.41,869.55,255,633
3.42,872.1,255,630.45
3.43,874.65,255,627.9
3.44,877.2,255,625.35
3.45,879.75,255,622.8
3.46,882.3,255,620.25
3.47,884.85,255,617.7
3.48,887.4,255,615.15
3.49,889.95,255,612.6
3.5,892.5,255,610.05
3.51,895.05,255,607.5
3.52,897.6,255,604.95
3.53,900.15,255,602.4
3.54,902.7,255,599.85
3.55,905.25,255,597.3
3.56,907.8,255,594.75
3.57,910.35,255,592.2
3.58,912.9,255,589.65
3.59,915.45,255,587.1
3.6,918,255,584.55
3.61,920.55,255,582
3.62,923.1,255,579.45
3.63,925.65,255,576.9
3.64,928.2,255,574.35
3.65,930.75,255,571.8
3.66,933.3,255,569.25
3.67,935.85,255,566.7
3.68,938.4,255,564.15
3.69,940.95,255,561.6
3.7,943.5,255,559.05
3.71,946.05,255,556.5
3.72,948.6,255,553.95
3.73,951.15,255,551.4
3.74,953.7,255,548.85
3.75,956.25,255,546.3
3.76,958.8,255,543.75
3.77,961.35,255,541.2
3.78,963.9,255,538.65
3.79,966.45,255,536.1
3.8,969,255,533.55
3.81,971.55,255,531
3.82,974.1,255,528.45
3.83,976.65,255,525.9
3.84,979.2,255,523.35
3.85,981.75,255,520.8
3.86,984.3,255,518.25
3.87,986.85,255,515.7
3.88,989.4,255,513.15
3.89,991.95,255,510.6
3.9,994.5,255,508.05
3.91,997.05,255,505.5
3.92,999.6,255,502.95
3.93,1002.15,255,500.4
3.94,1004.7,255,497.85
3.95,1007.25,255,495.3
3.96,1009.8,255,492.75
3.97,1012.35,255,490.2
3.98,1014.9,255,487.65
3.99,1017.45,255,485.1
4,1020,255,482.55
4.01,1022.55,255,480
4.02,1025.1,255,477.45
4.03,1027.65,255,474.9
4.04,1030.2,255,472.35
4.05,1032.75,255,469.8
4.06,1035.3,255,467.25
4.07,1037.85,255,464.7
4.08,1040.4,255,462.15
4.09,1042.95,255,459.6
4.1,1045.5,255,457.05
4.11,1048.05,255,454.5
4.12,1050.6,255,451.95
4.13,1053.15,255,449.4
4.14,1055.7,255,446.85
4.15,1058.25,255,444.3
4.16,1060.8,255,441.75
4.17,1063.35,255,439.2
4.18,1065.9,255,436.65
4.19,1068.45,255,434.1
4.2,1071,255,431.55
4.21,1073.55,255,429
4.22,1076.1,255,426.45
4.23,1078.65,255,423.9
4.24,1081.2,255,421.35
4.25,1083.75,255,418.8
